No,ccodeiso,ccodecow,Country,Region,RegdumAfr,RegdumAsia,RegdumLat,Year,Yearsq,Wave,Interrupt,NumElect,PEI35,FRAC2015,PEI45,FRAC2016,PEI55,FRAC2017,PEI65,FRAC2018,PEI70,FRAC2019,Rulelaw,Fract,ContCorr,CPI,GINI,Press,Urban,Fuel,Trade,Wealth,Population,Colony,BritCol,Location,Elect,Govt,CivWar
50,MDG,580,Madagascar,Africa,1,0,0,1983,3932289,4th Wave,Coup,8,39.720001,.85777003,39.490002,.85777003,39.830002,.85777003,39.779999,.85777003,42.1197395324707,.85777003,-.5786675395149934,.8791,.48957685,75,42.599998,72.239998,36,.5298804,76.674301,7.3988814,17.083647,Yes,No,.222222,Majoritarian,Presidential,No
51,MWI,553,Malawi,Africa,1,0,0,1994,3976036,4th Wave,No Coup,5,47.799999,.84898561,47.650002,.84898561,47.779999,.84898561,47.970001,.84898561,47.7534027099609,.84898561,-.2459809458569477,.6744,.56980109,68,44.700001,70.639999,17,-2.530864,65.329872,7.1767769,16.713812,Yes,Yes,.147778,Majoritarian,Presidential,No
52,MYS,820,Malaysia,Asia,0,1,0,1978,3912484,3rd Wave,No Coup,10,35.41,.48253229,35.48,.58721608,35.450001,.58721608,34.380001,.58721608,34.6378936767578,.58721608,.4555086117041738,.588,-.21677659,53,41,63.259998,75,2.7073338,132.25539,10.36402,17.266405,Yes,Yes,.025556,Proportional,Parliamentary,Yes
53,MLI,432,Mali,Africa,1,0,0,1992,3968064,4th Wave,Coup,5,52.389999,.77148229,52.450001,.77148229,52.529999,.77148229,52.650002,.77148229,42.7883453369141,.77148229,-.4229025350329099,.6906,.66738093,68,33,64.769997,41,-2.7504826,61.416798,7.7461147,16.76403,Yes,No,.188889,Majoritarian,Presidential,Yes
54,MUS,590,Mauritius,Asia,0,1,0,1976,3904576,3rd Wave,No Coup,11,64.290001,.4049446,64.129997,.4049446,64.160004,.4049446,64.150002,.4049446,64.2653045654297,.4049446,.931990529361524,.4634,-.35192004,49,35.799999,71.540001,41,.10152883,94.853477,10.073614,14.050822,Yes,Yes,.22411101,Majoritarian,Parliamentary,No
55,MEX,70,Mexico,Latin America,0,0,1,1976,3904576,4th Wave,No Coup,15,57.490002,.70296699,57.259998,.76124638,57.330002,.76124638,57.240002,.76124638,60.5915031433105,.76124638,-.4898694079173239,.5417999999999999,.4251118,72,43.400002,53.220001,80,1.8958714,80.322678,9.9019594,18.653305,Yes,No,.25555599,Majoritarian,Presidential,No
56,MDA,359,Moldova,Europe,0,0,0,1994,3976036,3rd Wave,No Coup,8,56.790001,.799604,57.049999,.799604,55.599998,.799604,55.59,.799604,55.6207504272461,.799604,-.3810289628607662,.5535,.72457999,67,25.9,68.790001,43,-3.0288568,86.689255,8.8957586,15.081298,No,No,.52228397,Proportional,Presidential,No
57,MNG,712,Mongolia,Asia,0,1,0,1990,3960100,4th Wave,No Coup,8,64.349998,.66245621,63.98,.66245621,64.18,.25754389,63.57,.25754389,63.6172065734863,.25754389,-.1734317164672048,.3682,.43817618,63,32.299999,70.489998,68,3.8580804,123.82664,9.527729,14.969308,No,No,.51111102,Majoritarian,Presidential,No
58,MNE,341,Montenegro,Europe,0,0,0,2006,4024036,4th Wave,No Coup,4,49.93,,51.400002,,51.060001,,51.619999,,51.59188,,-.0469639285001904,.5736,.18402532,55,31.9,67.260002,66,3.0352726,110.59837,9.8707027,13.341249,No,No,.47158399,Proportional,Presidential,No
59,MOZ,541,Mozambique,Africa,1,0,0,1994,3976036,4th Wave,No Coup,6,34.740002,.53902012,34.529999,.53902012,34.68,.53902012,34.830002,.53902012,34.7161979675293,.53902012,-.7103024234897212,.6932,.57129562,77,54,67.339996,35,3.8505936,117.26995,7.1913667,17.199764,Yes,No,.201667,Proportional,Presidential,Yes
