No,ccodeiso,ccodecow,Country,Region,RegdumAfr,RegdumAsia,RegdumLat,Year,Yearsq,Wave,Interrupt,NumElect,PEI35,FRAC2015,PEI45,FRAC2016,PEI55,FRAC2017,PEI65,FRAC2018,PEI70,FRAC2019,Rulelaw,Fract,ContCorr,CPI,GINI,Press,Urban,Fuel,Trade,Wealth,Population,Colony,BritCol,Location,Elect,Govt,CivWar
17,COM,581,Comoros ,Africa,1,0,0,1990,3960100,4th Wave,Coup,7,47.16,.47463769,45.060001,.35555559,45.709999,.78247547,45.790001,.78247547,45.3966827392578,.78247547,-.9992928285347787,0,.8259899,73,45.299999,72.089996,29,-3.0025756,40.136219,7.9472775,13.631974,Yes,No,.130046,Majoritarian,Presidential,No
18,COG,484,Republic of the Congo,Africa,1,0,0,2002,4008004,4th Wave,No Coup,3,31.26,.53322369,27.48,.53322369,28.030001,.53322369,28.75,.53322369,29.289493560791,.53322369,-1.219633259271321,.8747,1.1249511,81,48.900002,63.959999,66,3.8033087,154.91112,8.6397781,15.472664,Yes,No,.011111,Majoritarian,Presidential,Yes
19,HRV,344,Croatia,Europe,0,0,0,1990,3960100,4th Wave,No Coup,10,65.019997,.57927042,66.580002,.58874232,64.709999,.60727489,64.699997,.60727489,64.7675323486328,.60727489,.0866747719088667,.369,-.050388005,52,31.1,70.970001,56,2.3467603,101.08825,10.177154,15.223908,No,No,.50906003,Proportional,Presidential,No
20,CYP,352,Cyprus,Europe,0,0,0,1976,3904576,3rd Wave,No Coup,9,73.480003,.72525251,70.080002,.72525251,70.019997,.79253238,69.440002,.79253238,69.452018737793,.79253238,1.024903626818406,.0939,-1.0561211,41,34,78.260002,67,3.4509385,130.28795,10.495584,13.988846,Yes,Yes,.38888901,Proportional,Presidential,No
21,CZE,316,Czech Republic,Europe,0,0,0,1990,3960100,3rd Wave,No Coup,9,75.860001,.80412668,75.849998,.80412668,75.849998,.80412668,75.480003,.80412668,75.5013885498047,.80412668,.9493019863178855,.3222,-.40808791,41,25.9,75.110001,74,.43874204,151.45113,10.596596,16.178785,No,No,.55639499,Proportional,Presidential,No
22,DOM,42,Dominican Republic,Latin America,0,0,1,1986,3944196,3rd Wave,No Coup,8,,.50531441,,.50531441,44.240002,.62682629,43.639999,.62682629,44.3698997497559,.62682629,-.5992265437778673,.4294,.72483635,70,45.700001,72.099998,79,-1.0549725,55.045338,9.7868862,16.178925,Yes,No,.21111099,Proportional,Presidential,No
23,ECU,130,Ecuador,Latin America,0,0,1,1979,3916441,3rd Wave,No Coup,13,54.700001,.47423199,54.950001,.47423199,49.580002,.47423199,50.02,.47423199,49.8390884399414,.47423199,-.9047983994609431,.655,.72842932,66,44.700001,68.120003,64,3.715883,45.866554,9.3685141,16.653673,Yes,No,.022221999,Proportional,Presidential,No
24,SLV,92,El Salvador,Latin America,0,0,1,1978,3912484,4th Wave,No Coup,12,54.240002,.69506598,54,.67478979,53.93,.67478979,53.830002,.67478979,53.726245880127,.67478979,-.6438129183493162,.1978,.44674456,65,38,70.190002,71,1.2680987,77.526108,9.0260553,15.675045,Yes,No,.15000001,Proportional,Presidential,No
25,EST,366,Estonia,Europe,0,0,0,1990,3960100,3rd Wave,No Coup,9,78.900002,.74712873,78.769997,.79584157,78.809998,.79584157,78.809998,.79584157,78.840705871582,.79584157,1.052453448897914,.5062,-1.0040224,27,32.700001,87.730003,69,2.380265,146.96342,10.484233,14.093812,No,No,.660411,Proportional,Parliamentary,No
26,ETH,530,Ethiopia,Africa,1,0,0,1992,3968064,4th Wave,No Coup,6,21.370001,.1656522,23.309999,.15923651,24.190001,.15923651,24.16,.15923651,23.9111175537109,.15923651,-.7307211286143253,.7235,.61295122,66,39.099998,64.889999,20,-6.261642,31.166155,7.6101456,18.508917,No,No,.100277,Majoritarian,Parliamentary,Yes
27,FJI,950,Fiji,Asia,0,1,0,1992,3968064,4th Wave,Coup,7,53.369999,.50693882,53.240002,.50693882,53,.50693882,52.560001,.50693882,54.6688385009766,.50693882,-.367882006458546,.5479000000000001,-.067308918,40,36.700001,72.82,55,-3.230015,78,9.3059893,13.691628,Yes,Yes,.2,Majoritarian,Parliamentary,No
28,GAB,481,Gabon,Africa,1,0,0,1996,3984016,4th Wave,No Coup,5,,.097479001,,.097479001,33.5,.097479001,33.900002,.097479001,29.9915,.097479001,-.5110824037539331,.769,.8271091,69,38,64.400002,89,4.420464,75.068741,9.7932501,14.566585,Yes,No,.011111,Majoritarian,Presidential,No
29,GMB,420,Gambia,Africa,1,0,0,1977,3908529,4th Wave,No Coup,9,,.19946811,,.19946811,50.02,.19946811,49.900002,.19946811,49.7590713500977,.19946811,-.4109286481612607,.7864,.59947366,63,35.900002,68.650002,60,-6.113822,62.121876,7.4420662,14.63973,Yes,Yes,.14755601,Proportional,Presidential,No
30,GEO,372,Georgia,Asia,0,1,0,1992,3968064,3rd Wave,Coup,8,58.860001,.49440721,58.869999,.49440721,59.720001,.38067111,59.630001,.38067111,58.067512512207,.38067111,-.3797760517581513,.4923,.1338212,42,37.900002,71.019997,58,.76345891,121.74269,9.3431768,15.132187,No,No,.46351901,Majoritarian,Presidential,No
31,GHA,452,Ghana,Africa,1,0,0,1979,3916441,4th Wave,No Coup,8,57.119999,.51211679,57.130001,.51211679,65.190002,.47713339,65.199997,.47713339,65.148323059082,.47713339,-5.05159167867e-06,.6733,.1565045,59,43.5,79.190002,55,3.8617082,73.648201,8.4634371,17.208914,Yes,Yes,.088889003,Majoritarian,Presidential,No
32,GRC,350,Greece,Europe,0,0,0,1977,3908529,3rd Wave,No Coup,13,71.239998,.73672801,66.349998,.66298491,66.330002,.66298491,66.300003,.66298491,66.461181640625,.66298491,.6418075216443915,.1576,-.18071021,55,36,70.919998,78,3.5374477,72.519699,10.304729,16.188337,No,No,.43333301,Proportional,Parliamentary,No
